2023-10-06T10:47:09,897 [Thread-0] INFO  (DeleteAttributeApplication.java:136) - -------------Delete attributes & Update workflow application started-----------------
2023-10-06T10:47:11,373 [Thread-0] INFO  (DeleteAttributeApplication.java:145) - <<<<<<Application running for the project Radar_L3_EE_RM , Radar_L3_EE_RM , Radar_L3_EE_RM_Generic>>>>>>>>
2023-10-06T10:47:40,561 [Thread-0] INFO  (RestUtility.java:1120) - baseline update_data_model_v30 has been created for the project Radar_L3_EE_RM,Radar_L3_EE_RM_Generic
2023-10-06T10:47:41,738 [Thread-0] INFO  (DeleteAttributeApplication.java:357) - Changeset Radar_L3_EE_RM_Generic_update_data_model_v30 has been created 
2023-10-06T10:48:24,635 [Thread-0] INFO  (DeleteAttributeApplication.java:261) - Deleting attribute data type for the project Radar_L3_EE_RM , Radar_L3_EE_RM , Radar_L3_EE_RM_Generic
2023-10-06T10:50:59,555 [Thread-0] ERROR (RestUtility.java:423) - Enum value To Be Defined not found for the attribute data type Document Confidentiality Levels  for the project Radar_L3_EE_RM , Radar_L3_EE_RM , Radar_L3_EE_RM_Generic
2023-10-06T10:54:52,009 [Thread-0] INFO  (DeleteAttributeApplication.java:145) - <<<<<<Application running for the project Radar_Stakeholder_Group_Daimler_RM , Radar_Stakeholder_Group_Daimler_RM , Radar_Stakeholder_Group_Daimler_RM_Generic>>>>>>>>
2023-10-06T10:55:22,694 [Thread-0] INFO  (RestUtility.java:1120) - baseline update_data_model_v30 has been created for the project Radar_Stakeholder_Group_Daimler_RM,Radar_Stakeholder_Group_Daimler_RM_Generic
2023-10-06T10:55:24,575 [Thread-0] INFO  (DeleteAttributeApplication.java:357) - Changeset Radar_Stakeholder_Group_Daimler_RM_Generic_update_data_model_v30 has been created 
2023-10-06T10:55:40,016 [Thread-0] INFO  (DeleteAttributeApplication.java:261) - Deleting attribute data type for the project Radar_Stakeholder_Group_Daimler_RM , Radar_Stakeholder_Group_Daimler_RM , Radar_Stakeholder_Group_Daimler_RM_Generic
2023-10-06T10:58:53,479 [Thread-0] INFO  (DeleteAttributeApplication.java:177) - -------------Delete attributes & Update workflow application completed-----------------
