2022-09-07T13:02:11,519 [main] INFO  (DNGLoginUtility.java:50) - DNGLogin successful for the project Radar_L2_RM
2022-09-07T13:02:15,095 [main] INFO  (RestUtility.java:723) - baseline test_CS_folder_correction has been created for the project Radar_L2_RM,Radar_L2_RM_Generic_ToBeArchived_2021_CW27
2022-09-07T13:02:25,950 [main] INFO  (FolderCorrectionApplication.java:222) - Changeset Radar_L2_RM_Generic_ToBeArchived_2021_CW27_test_CS_folder_correction has been created 
2022-09-07T13:02:45,918 [main] INFO  (FolderCorrectionApplication.java:121) - Admin Folder has been renamed in project Radar_L2_RM,Radar_L2_RM_Generic_ToBeArchived_2021_CW27
2022-09-07T13:02:45,924 [main] INFO  (FolderCorrectionApplication.java:127) - Folder has been renamed in project Radar_L2_RM,Radar_L2_RM_Generic_ToBeArchived_2021_CW27
2022-09-07T13:02:49,295 [main] INFO  (DNGLoginUtility.java:50) - DNGLogin successful for the project Radar_L2_RM
2022-09-07T13:02:52,265 [main] INFO  (RestUtility.java:723) - baseline test_CS_folder_correction has been created for the project Radar_L2_RM,Radar_L2_RM_Generic
2022-09-07T13:03:04,244 [main] INFO  (FolderCorrectionApplication.java:222) - Changeset Radar_L2_RM_Generic_test_CS_folder_correction has been created 
2022-09-07T13:03:21,431 [main] INFO  (FolderCorrectionApplication.java:121) - Admin Folder has been renamed in project Radar_L2_RM,Radar_L2_RM_Generic
2022-09-07T13:03:21,431 [main] INFO  (FolderCorrectionApplication.java:127) - Folder has been renamed in project Radar_L2_RM,Radar_L2_RM_Generic
2022-09-07T13:03:25,004 [main] INFO  (DNGLoginUtility.java:50) - DNGLogin successful for the project Radar_L2_RM
2022-09-07T13:03:27,607 [main] INFO  (RestUtility.java:723) - baseline test_CS_folder_correction has been created for the project Radar_L2_RM,Radar_L2_RM_Generic_2022_CW15
2022-09-07T13:03:41,567 [main] INFO  (FolderCorrectionApplication.java:222) - Changeset Radar_L2_RM_Generic_2022_CW15_test_CS_folder_correction has been created 
2022-09-07T13:04:01,178 [main] INFO  (FolderCorrectionApplication.java:121) - Admin Folder has been renamed in project Radar_L2_RM,Radar_L2_RM_Generic_2022_CW15
2022-09-07T13:04:01,179 [main] INFO  (FolderCorrectionApplication.java:127) - Folder has been renamed in project Radar_L2_RM,Radar_L2_RM_Generic_2022_CW15
2022-09-07T13:04:05,385 [main] INFO  (DNGLoginUtility.java:50) - DNGLogin successful for the project Radar_L2_RM
2022-09-07T13:04:08,423 [main] INFO  (RestUtility.java:723) - baseline test_CS_folder_correction has been created for the project Radar_L2_RM,Radar_L2_RM_Generic_2022_CW13
2022-09-07T13:04:21,146 [main] INFO  (FolderCorrectionApplication.java:222) - Changeset Radar_L2_RM_Generic_2022_CW13_test_CS_folder_correction has been created 
2022-09-07T13:04:42,038 [main] INFO  (FolderCorrectionApplication.java:121) - Admin Folder has been renamed in project Radar_L2_RM,Radar_L2_RM_Generic_2022_CW13
2022-09-07T13:04:42,038 [main] INFO  (FolderCorrectionApplication.java:127) - Folder has been renamed in project Radar_L2_RM,Radar_L2_RM_Generic_2022_CW13
2022-09-07T13:04:45,829 [main] INFO  (DNGLoginUtility.java:50) - DNGLogin successful for the project Radar_L2_RM
2022-09-07T13:04:48,487 [main] INFO  (RestUtility.java:723) - baseline test_CS_folder_correction has been created for the project Radar_L2_RM,TRANSFORM ARS620DP14front_20220406111354
2022-09-07T13:05:01,390 [main] INFO  (FolderCorrectionApplication.java:222) - Changeset TRANSFORM ARS620DP14front_20220406111354_test_CS_folder_correction has been created 
2022-09-07T13:05:21,270 [main] INFO  (FolderCorrectionApplication.java:121) - Admin Folder has been renamed in project Radar_L2_RM,TRANSFORM ARS620DP14front_20220406111354
2022-09-07T13:05:21,270 [main] INFO  (FolderCorrectionApplication.java:127) - Folder has been renamed in project Radar_L2_RM,TRANSFORM ARS620DP14front_20220406111354
2022-09-07T13:05:25,349 [main] INFO  (DNGLoginUtility.java:50) - DNGLogin successful for the project Radar_L2_RM
